=== Sheet: 武将  rows=309 cols=33 ===

R  1: 武将一覧 |  |  |  | 主陣 |  |  | 角陣 |  |  | 武将有無(突破〇/装備◎) |  |  |  |  |  |  |  | 馬・武将スキル |  |  |  | 備考 |  |  |  |  |  |  |  |  |  | 
R  2: 兵種 | 武将 | 配置 | 上限 | 紫苑 | 青葉 |  | 紫苑 | 青葉 |  | 青葉 | 中哲 | ゴッド | あらなみ | ナギ | 斗茂 | ショウ | ー | 青葉 | 中哲 | ゴッド | ー |  |  |  |  |  |  |  |  |  |  | 
R  3: 歩兵 | 玄孫堅 | 統率 | 2.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 貫通抵抗20%増（上限60%） |  |  |  |  |  |  |  |  |  | 
R  4: 3 | 玄孫権 | 統率 | 0 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 連撃20%減（上限50%・共有） |  |  |  |  |  |  |  |  |  | 
R  5: 0.38 | 玄孫策 | 統率 | 2.74 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 連撃歩比率×40%増（上限50%） |  |  |  |  |  |  |  |  |  | 
R  6:  | 司馬昭 | 知性 | 3 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメ10%反射（上限30%） |  |  |  |  |  |  |  |  |  | 
R  7:  | 玄鄧艾 | 統率 | 2 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ○ |  |  |  | ダメ部隊100%増（上限25%） |  |  |  |  |  |  |  |  |  | 
R  8:  | 李典 | 武力 | 3 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抑制40%増（上限80%） |  |  |  |  |  |  |  |  |  | 
R  9:  | 満龍 | 知性 | 2.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抑制40%減（上限80%）、貫通20%減（上限50%） |  |  |  |  |  |  |  |  |  | 
R 10:  | 関羽 | 武力 | 2 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 兵士5%殺傷（上限10%）【装備】敵貫通5%減（累加不可） |  |  |  |  |  |  |  |  |  | 
R 11:  | 玄龐徳 | 武力 | 2.74 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 貫通歩比率×40%増（上限50%） |  |  |  |  |  |  |  |  |  | 
R 12:  | 真田幸村 | 武力 | 1.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 追加ダメ比率歩部隊数×2%（上限15%） |  |  |  |  |  |  |  |  |  | 
R 13:  | 玄大喬 | 知性 | 2 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメ15%減（累加不可）、最終抵抗1%高×0.5減（上限25%・上限累加可、1スキル上限10%） |  |  |  |  |  |  |  |  |  | 
R 14:  | 曹仁 | 統率 | 2 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抵抗歩部隊数×4%減（上限80%・共有） |  |  |  |  |  |  |  |  |  | 
