col_A(兵種/集計) | col_B(武将) | col_C(配置) | col_D(上限) | col_V(備考)
R  1: 武将一覧 |  |  |  | 
R  2: 兵種 | 武将 | 配置 | 上限 | ー
R  3: 歩兵 | 玄孫堅 | 統率 | 2.5 | 
R  4: 3 | 玄孫権 | 統率 | 0 | 
R  5: 0.38 | 玄孫策 | 統率 | 2.74 | 
R  6:  | 司馬昭 | 知性 | 3 | 
R  7:  | 玄鄧艾 | 統率 | 2 | 
R  8:  | 李典 | 武力 | 3 | 
R  9:  | 満龍 | 知性 | 2.5 | 
R 10:  | 関羽 | 武力 | 2 | 
R 11:  | 玄龐徳 | 武力 | 2.74 | 
R 12:  | 真田幸村 | 武力 | 1.5 | 
R 13:  | 玄大喬 | 知性 | 2 | 
R 14:  | 曹仁 | 統率 | 2 | 
R 15:  | 玄許褚 | 武力 | 1 | 
R 16:  | 賈逵 | 知性 | 1.58 | 
R 17:  | 玄荀攸 | 知性 | 1 | 
R 18:  | 麹義 | 統率 | 2 | 
R 19:  | 全琮 | 武力 | 1 | 
R 20:  | 玄周泰 | 武力 | 1 | 
R 21:  | 姜維 | 統率 | 1 | 
R 22:  | 潘璋 | 武力 | 1 | 
R 23:  | 楽進 | 統率 | 2 | 
R 24:  | 小計 |  |  | 
R 25: 馬兵 | 玄張飛 | 統率 | 4.34 | 
R 26: 2 | 関平 | 統率 | 0 | 
R 27: 0.24 | 文醜 | 武力 | 3 | 
R 28:  | 玄公孫瓚 | 武力 | 2.5 | 
R 29:  | 張寧姫 | 武力 | 2.5 | 
R 30:  | 玄司馬懿 | 統率 | 2.5 | 
R 31:  | 玄郭嘉 | 知性 | 1.5 | 
R 32:  | 夏侯惇 | 統率 | 2 | 
R 33:  | 武田信玄 | 統率 | 1 | 
R 34:  | 閻行 | 武力 | 2.5 | 
R 35:  | 玄賈詡 | 知性 | 1.6 | 
R 36:  | 王双 | 武力 | 2 | 
R 37:  | 玄馬雲騄 | 武力 | 2.7 | 
R 38:  | 玄馬超 | 統率 | 1 | 
R 39:  | 曹洪 | 統率 | 2 | 
R 40:  | 夏侯玄 | 知性 | 1 | 
R 41:  | 審配 | 知性 | 1.39 | 
R 42:  | 高覧 | 武力 | 1.51 | 
R 43:  | 于禁 | 統率 | 3 | 
R 44:  | 沙摩柯 |  |  | 
R 45:  | 臧覇 | 統率 | ー | 
R 46:  | 馬超 | 武力 | ー | 
R 47:  | 小計 |  |  | 
R 48: 弓兵 | 蔣欽 | 武力 | 3 | 
R 49: 3 | 呉国太 | 知性 | 3 | 
R 50: 0.38 | 玄孫尚香 | 武力 | 1.33 | 
R 51:  | 龐統 | 知性 | 1 | 
R 52:  | 玄陸遜 | 統率 | 1 | 
R 53:  | 陸遜 | 統率 | 2 | 
R 54:  | 織田信長 | 統率 | 1 | 
R 55:  | 玄貂蝉 | 知性 | 2 | 
R 56:  | 玄呂布 | 武力 | 1 | 
R 57:  | 玄徐庶 | 知性 | 2 | 
R 58:  | 玄丁奉 | 武力 | 1 | 
R 59:  | 玄夏侯淵 | 武力 | 2.74 | 
R 60:  | 玄小喬 | 知性 | 2 | 
R 61:  | 玄蔡文姫 | 知性 | 1.21 | 
R 62:  | 賀斉 |  |  | 
R 63:  | 周瑜 | 統率 | 1.67 | 
R 64:  | 玄祝融 | 武力 | 1.39 | 
