=== Sheet: 陣法  rows=28 cols=7 ===

R  1: 陣法 |  |  |  |  |  | 
R  2:  | 陣 | 陣法 | 紫苑 | スヌ | 謙信 | 備考
R  3:  | 地載陣 | 透敵防衛 | 0.2 |  |  | 貫通／防御
R  4:  | 風揚陣 | 抵敵攻撃 | 0.2 |  |  | 抵抗／攻撃
R  5:  | 雲垂陣 | 堅壁頑抗 | 0.2 |  |  | 抵抗／シールド
R  6:  | 雲垂陣 | 盾守連攻 | 0.2 |  |  | 連撃／シールド
R  7:  |  |  |  |  |  | 
R  8: 奇策 |  |  |  |  |  | 
R  9:  | 奇策 | 奇策名 | 紫苑 | スヌ | 謙信 | 備考
R 10:  | 基礎奇策 | 奇攻策 |  |  |  | 攻撃 X1%
R 11:  | 基礎奇策 | 墨守策 | 20 |  |  | 防御 X1%
R 12:  | 基礎奇策 | 畳撃作 | 20 |  |  | 連撃 X1%
R 13:  | 基礎奇策 | 固抗策 | 20 |  |  | 抵抗 X1%
R 14:  | 基礎奇策 | 堅盾策 | 20 |  |  | シールド X1%
R 15:  | 基礎奇策 | 全貫策 | 20 |  |  | 貫通 X1%
R 16:  | 基礎奇策 | 四武衝陣 | 16 |  |  | 追加ダメージ 損失兵士数X1.5%
R 17:  | 奇策合成1 | 両儀攻守 | 20 |  |  | 攻撃or防御 X1.5%
R 18:  | 奇策合成1 | 両儀貫盾 |  |  |  | 貫通orシールド X1.5%
R 19:  | 奇策合成1 | 両儀連抗 |  |  |  | 連撃o抵抗 X1.5%
R 20:  | 奇策合成1 | 斗転星移 |  |  |  | 追加ダメージ 受けたダメージX1.5%
R 21:  | 奇策合成1 | 太虚換形 | 20 |  |  | 敵貫通 x3%低下, 味方 x3%アップ
R 22:  | 奇策合成2 | 奇攻化勢 | 20 |  |  | 攻撃 X1.5%, 敵攻撃1%低下
R 23:  | 奇策合成2 | 墨守化勢 |  |  |  | 防御 X1.5%, 敵防御1%低下
R 24:  | 奇策合成2 | 蔵星納海 | 20 |  |  | 連撃/抵抗 x0.5%, 敵連撃/抵抗1.5%低下
R 25:  | 神策 | 気勢霆震 | 11 |  |  | 防御 X1%
R 26:  | 神策 | 陥陣砕鋒 | 11 |  |  | 攻撃 X1%
R 27:  | 神策 | 疾若烈風 | 16 |  |  | 連撃 X1%
R 28:  | 神策 | 巍然屹立 | 11 |  |  | 抵抗 X1%
