=== Sheet: 集結  rows=96 cols=36 ===

R  1:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R  2:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R  3:  | 青葉 |  |  |  |  |  | 青葉 |  |  |  |  |  | 青葉 |  |  |  |  |  | 青葉 |  |  |  |  |  | 青葉 |  |  |  |  |  | 青葉　馬２ |  |  |  | 
R  4:  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将
R  5: 1 | 于禁 | 玄公孫瓚 | 司馬師 | 于禁 |  | 1 | 玄高順 | 玄呂布 | 玄貂蝉 | 玄貂蝉 |  | 1 | 麹義 | 玄ホウトク | 張遼 |  |  | 1 | 司馬懿 | 蒋欽 | 于吉 |  |  | 1 | 司馬炎 | 潘璋 | 司馬昭 |  |  | 1 | 曹操 | 沙摩柯 |  |  | 
R  6: 2 | 曹洪 | 王双 | 玄呂蒙 | 王双 |  | 2 | 賀斉 | 玄祝融 | 玄徐庶 |  |  | 2 | 玄孫堅 | 関羽 | 賈逵 |  |  | 2 | 玄徐晃 | 玄曹彰 | 玄荀彧 | 玄荀彧 |  | 2 | 曹仁 | ゼンソウ | 玄荀攸 |  |  | 2 | 武田信玄 |  |  |  | 
R  7: 3 | 夏侯惇 | 玄馬雲禄 | 玄諸葛亮 |  |  | 3 | 周瑜 | 玄孫尚香 | 玄程昱 | 周瑜 |  | 3 | 玄魏延 | 真田幸村 | 楽進 | 楽進 |  | 3 | 玄張角 | 呂布 | 華佗 |  |  | 3 | 武田信玄 | 玄周泰 | 王允 |  |  | 3 |  |  |  |  | 
R  8: 4 | 玄張飛 | 玄趙雲 | 審配 |  |  | 4 | 織田信長 | 玄丁奉 | 玄小喬 |  |  | 4 | 玄鄧艾 | 玄甘寧 | 満寵 | 玄鄧艾 |  | 4 | 玄張コウ | 玄太史慈 | 管輅 |  |  | 4 |  | 李典 | 玄大喬 |  |  | 4 |  |  |  |  | 
R  9: 5 | 関平 | 張飛娘 | 諸葛亮 | 諸葛亮 |  | 5 | 玄陸遜 | 玄夏侯淵 | 龐統 |  |  | 5 | 曹真 | 玄関羽 | 玄孫策 |  |  | 5 | 皇甫嵩 | 典韋 | 玄蔡文姫 | 皇甫嵩 |  | 5 |  |  | しんぴ |  |  | 5 |  |  |  |  | 
R 10: 角陣 | 馬鈞 | 玄廖化 | 玄黄月英 |  |  | 角陣 | 呂蒙 | 朱然 | 玄陳登 |  |  | 角陣 | 玄馬超 |  | 荀攸 |  |  | 角陣 | 玄文鴦 |  |  |  |  | 角陣 | 玄孫権 |  |  |  |  | 角陣 |  |  |  |  | 
R 11:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 12:  | 斗茂　馬 |  |  |  |  |  | 斗茂　馬 |  |  |  |  |  | 斗茂　歩 |  |  |  |  |  | 斗茂　歩 |  |  |  |  |  | 斗茂 |  |  |  |  |  |  |  |  |  | 
R 13: 1 | 司馬懿 | 玄呂蒙 |  | 玄呂蒙 |  | 1 | 玄司馬懿 | 玄公孫瓚 | 玄郭嘉 |  |  | 1 | 玄孫堅 | 玄ホウトク | 張遼 |  |  | 1 | 司馬炎 | 潘璋 | 司馬昭 |  |  | 1 |  |  | 玄荀彧 |  |  |  |  |  |  |  | 
R 14: 2 | 玄黄忠 | 文醜 | 管輅 |  | 沙摩柯 | 2 | 玄文鴦 | 玄馬雲禄 | 于禁 | 于禁 |  | 2 | 玄張角 | 典韋 | 賈逵 |  |  | 2 | 玄徐晃 | 玄周泰 | 玄荀攸 |  |  | 2 | 夏侯惇 |  |  |  |  |  |  |  |  |  | 
R 15: 3 | 玄張飛 | 玄曹彰 | 玄曹操 |  |  | 3 | 関平 | 張飛娘 | 玄カク |  |  | 3 | 曹真 | 玄甘寧 | 楽進 | 楽進 |  | 3 | 曹仁 | ゼンソウ | 玄大喬 |  |  | 3 |  |  |  |  |  |  |  |  |  |  | 
R 16: 4 | 皇甫嵩 | 玄趙雲 | 司馬師 | 皇甫嵩 |  | 4 | 玄馬超 | 王双 | 夏侯玄 | 王双 |  | 4 | 玄張コウ | 玄許チョ | 満寵 |  |  | 4 | 玄鄧艾 | 李典 | しんぴ | 玄鄧艾 |  | 4 |  |  |  |  |  |  |  |  |  |  | 
R 17: 5 | 曹洪 | 玄孫尚香 | 于吉 |  |  | 5 | 曹操 | 高覧 | 諸葛亮 | 諸葛亮 | 左慈 | 5 | 麹義 | 関羽 | 玄孫策 |  |  | 5 | 武田信玄 | 玄黄蓋 | 玄小喬 |  | 姜維 | 5 |  |  |  |  |  |  |  |  |  |  | 
R 18: 角陣 | 馬鈞 | 玄廖化 | 玄黄月英 |  |  | 角陣 | 玄魏延 | 玄太史慈 | 黄月英 |  |  | 角陣 | 玄陸遜 | 玄呂布 | 玄関羽 |  |  | 角陣 | 玄孫権 | 呂布 | 玄程昱 |  |  | 角陣 |  | 朱然 | 玄陳登 |  |  |  |  |  |  |  | 
R 19:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 20:  | 中哲　歩 |  |  | 馬技 | 副将 |  | 中哲　弓 |  |  | 馬技 | 副将 |  | 中哲　馬 |  |  | 馬技 | 副将 |  | 中哲　馬 |  |  | 馬技 | 副将 |  | 中哲 |  |  | 馬技 | 副将 |  |  |  |  |  | 
R 21: 1 | 麹義 | ぜんそう | 楽進 | 楽進 |  | 1 | 賀斉 | 玄夏侯淵 | 玄程昱 |  |  | 1 | 玄司馬懿 | 玄呂蒙 | 夏侯玄 | 玄呂蒙 |  | 1 | 玄馬超 | 玄曹彰 | 玄曹操 |  |  | 1 |  |  |  |  |  |  |  |  |  |  | 
R 22: 2 | 玄孫堅 | 潘璋 | 玄大喬 |  |  | 2 | 周瑜 | 玄祝融 | 玄小喬 | 周瑜 |  | 2 | 関平 | 玄公孫瓚 | 諸葛亮 |  |  | 2 | 曹真 | 典韋 | 玄カク |  |  | 2 |  |  |  |  |  |  |  |  |  |  | 
R 23: 3 | 玄鄧艾 | 玄周泰 | 賈逵 |  |  | 3 | 玄徐晃 | 玄呂布 | 玄徐庶 | 武力UP |  | 3 | 曹洪 | 閻行 | 玄趙雲 |  |  | 3 | 司馬懿 | 玄関羽 | 司馬師 |  |  | 3 |  |  |  |  |  |  |  |  |  |  | 
R 24: 4 | 曹仁 | 関羽 | 玄諸葛亮 |  |  | 4 | 皇甫嵩 | 玄孫尚香 | 玄蔡文姫 | 皇甫嵩 |  | 4 | 玄張飛 | 王双 | 審配 | 王双 |  | 4 | 玄黄忠 | 張飛娘 | 于吉 |  | 沙摩柯 | 4 |  |  |  |  |  |  |  |  |  |  | 
R 25: 5 | 玄孫策 | 玄ホウトク | 満寵 | 玄呂蒙 |  | 5 | 玄張角 | 玄甘寧 | 龐統 |  |  | 5 | 玄文鴦 | 高覧 | 于禁 |  | 司馬昭 | 5 | 玄張コウ | 玄黄蓋 | 張遼 |  | 戯志才 | 5 |  |  |  |  |  |  |  |  |  |  | 
R 26: 角陣 | 馬鈞 | 玄廖化 | 玄黄月英 |  |  | 角陣 | 玄陸遜 | 玄丁奉 | 玄陳登 |  |  | 角陣 | 玄董卓 | 朱然 | 玄荀攸 |  |  | 角陣 | 玄孫権 | 玄太史慈 | 玄董卓 |  |  | 角陣 |  |  |  |  |  |  |  |  |  |  | 
R 27:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 28:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 29:  | ナギ　歩 |  |  |  |  |  | ナギ　弓 |  |  |  |  |  | ナギ　馬 |  |  |  |  |  | ナギ　弓 |  |  |  |  |  | ナギ |  |  |  |  |  |  |  |  |  | 
R 30:  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  | 統率 | 武力 | 知力 | 馬技 | 副将 |  |  |  |  |  | 
